id,server_ts,account,side,price,order_type,time_in_force,symbol,size
3708978,1499952370778,10,1,18.6800000,0,0,DODic17,100.0000000
3708995,1499952410786,100,0,18.3700000,0,0,DODic17,100.0000000
3708996,1499952411162,10,1,18.6800000,0,0,DODic17,100.0000000
3709042,1499952671156,100,0,18.4700000,0,0,DODic17,250.0000000
3709043,1499952671587,10,1,18.6500000,0,0,DODic17,100.0000000
3709087,1499952790688,100,0,18.4820000,0,0,DODic17,250.0000000
3709088,1499952791079,10,1,18.6500000,0,0,DODic17,100.0000000
3709102,1499952848277,100,0,18.4840000,0,0,DODic17,250.0000000
3709103,1499952848748,10,1,18.6500000,0,0,DODic17,100.0000000
3709156,1499953151032,100,0,18.4840000,0,0,DODic17,255.0000000
3709332,1499953932056,100,0,18.4840000,0,0,DODic17,255.0000000
3709333,1499953932480,10,1,18.6500000,0,0,DODic17,100.0000000
3709451,1499954452407,100,0,18.4840000,0,0,DODic17,5.0000000
3709452,1499954452774,10,1,18.6500000,0,0,DODic17,100.0000000
3709579,1499954832425,100,0,18.4840000,0,0,DODic17,5.0000000
3709580,1499954833000,10,1,18.6500000,0,0,DODic17,100.0000000
3709654,1499955071879,100,0,18.4840000,0,0,DODic17,5.0000000
3709655,1499955072253,10,1,18.6000000,0,0,DODic17,10.0000000
3709791,1499955731184,100,0,18.5000000,0,0,DODic17,500.0000000
3709792,1499955731567,10,1,18.6000000,0,0,DODic17,10.0000000
3710080,1499956632961,100,0,18.5000000,0,0,DODic17,500.0000000
3710081,1499956633363,10,1,18.6000000,0,0,DODic17,10.0000000
3710096,1499956690381,100,0,18.5000000,0,0,DODic17,500.0000000
3710097,1499956690783,10,1,18.6500000,0,0,DODic17,100.0000000
3710135,1499956868964,100,0,18.5000000,0,0,DODic17,500.0000000
3710136,1499956869418,10,1,18.6430000,0,0,DODic17,100.0000000
3710298,1499957388289,10,1,18.6430000,0,0,DODic17,100.0000000
3710826,1499958910486,100,0,18.5520000,0,0,DODic17,250.0000000
3710827,1499958910871,10,1,18.6430000,0,0,DODic17,100.0000000
3710862,1499959029190,100,0,18.5520000,0,0,DODic17,250.0000000
3710863,1499959029564,10,1,18.6430000,0,0,DODic17,200.0000000
3710972,1499959330870,100,0,18.5000000,0,0,DODic17,505.0000000
3710973,1499959331239,10,1,18.6420000,0,0,DODic17,100.0000000
3711050,1499959452232,100,0,18.5600000,0,0,DODic17,1500.0000000
3711051,1499959452604,10,1,18.6420000,0,0,DODic17,100.0000000
3711085,1499959609212,100,0,18.5000000,0,0,DODic17,505.0000000
3711086,1499959609621,10,1,18.6420000,0,0,DODic17,100.0000000
3711296,1499960232306,100,0,18.5700000,0,0,DODic17,1000.0000000
3711297,1499960232679,10,1,18.6420000,0,0,DODic17,100.0000000
3711318,1499960288903,100,0,18.5710000,0,0,DODic17,200.0000000
3711319,1499960289287,10,1,18.6420000,0,0,DODic17,100.0000000
3711405,1499960351317,100,0,18.5710000,0,0,DODic17,200.0000000
3711406,1499960351705,10,1,18.6420000,0,0,DODic17,100.0000000
3711423,1499960409804,100,0,18.5710000,0,0,DODic17,200.0000000
3711424,1499960410207,10,1,18.6420000,0,0,DODic17,100.0000000
3712078,1499962210563,100,0,18.5710000,0,0,DODic17,200.0000000
3712079,1499962211110,10,1,18.6420000,0,0,DODic17,100.0000000
3712159,1499962451889,100,0,18.5710000,0,0,DODic17,200.0000000
3712160,1499962452307,10,1,18.6420000,0,0,DODic17,100.0000000
3712204,1499962572875,100,0,18.5710000,0,0,DODic17,200.0000000
3712205,1499962573304,10,1,18.6420000,0,0,DODic17,100.0000000
3712265,1499962692796,100,0,18.5710000,0,0,DODic17,197.0000000
3712266,1499962693266,10,1,18.6420000,0,0,DODic17,100.0000000
3712320,1499962731050,10,1,18.6420000,0,0,DODic17,100.0000000
3712365,1499962813795,100,0,18.5710000,0,0,DODic17,197.0000000
3712408,1499962930326,100,0,18.5710000,0,0,DODic17,197.0000000
3712409,1499962930766,10,1,18.6420000,0,0,DODic17,100.0000000
3712440,1499962992127,100,0,18.5750000,0,0,DODic17,98.0000000
3712441,1499962992522,10,1,18.6420000,0,0,DODic17,100.0000000
3712506,1499963173619,100,0,18.5750000,0,0,DODic17,98.0000000
3712507,1499963174019,10,1,18.6430000,0,0,DODic17,100.0000000
3712698,1499963592819,100,0,18.5750000,0,0,DODic17,48.0000000
3712699,1499963593527,10,1,18.6430000,0,0,DODic17,23.0000000
3712770,1499963713669,100,0,18.5750000,0,0,DODic17,48.0000000
3712771,1499963714113,10,1,18.6550000,0,0,DODic17,23.0000000
3712818,1499963833263,100,0,18.5750000,0,0,DODic17,48.0000000
3712819,1499963833742,10,1,18.6430000,0,0,DODic17,250.0000000
3712850,1499963892930,100,0,18.5750000,0,0,DODic17,48.0000000
3712851,1499963893304,10,1,18.6720000,0,0,DODic17,250.0000000
3712931,1499964072283,100,0,18.5750000,0,0,DODic17,48.0000000
3712932,1499964072686,10,1,18.6850000,0,0,DODic17,100.0000000
3713051,1499964312534,100,0,18.5750000,0,0,DODic17,48.0000000
3713052,1499964312911,10,1,18.6980000,0,0,DODic17,10.0000000
3713081,1499964373270,100,0,18.5750000,0,0,DODic17,48.0000000
3713082,1499964373661,10,1,18.6990000,0,0,DODic17,90.0000000
3713117,1499964432806,100,0,18.5750000,0,0,DODic17,48.0000000
3713118,1499964433194,10,1,18.6990000,0,0,DODic17,90.0000000
3713164,1499964592647,100,0,18.5750000,0,0,DODic17,48.0000000
3713165,1499964593038,10,1,18.6990000,0,0,DODic17,80.0000000
3713544,1499965451553,100,0,18.5750000,0,0,DODic17,48.0000000
3713545,1499965451922,10,1,18.6980000,0,0,DODic17,80.0000000
3713588,1499965571979,100,0,18.5750000,0,0,DODic17,48.0000000
3713589,1499965572397,10,1,18.6750000,0,0,DODic17,8.0000000
3713699,1499965810454,100,0,18.5750000,0,0,DODic17,48.0000000
3713700,1499965811040,10,1,18.6500000,0,0,DODic17,500.0000000
3713747,1499965935104,100,0,18.6000000,0,0,DODic17,500.0000000
3713748,1499965935497,10,1,18.6500000,0,0,DODic17,500.0000000
3713780,1499965992870,100,0,18.6000000,0,0,DODic17,500.0000000
3713781,1499965993345,10,1,18.6500000,0,0,DODic17,500.0000000
3714209,1499967130359,100,0,18.6000000,0,0,DODic17,500.0000000
3714210,1499967130739,10,1,18.6650000,0,0,DODic17,8.0000000
3714480,1499967910500,100,0,18.6000000,0,0,DODic17,500.0000000
3714481,1499967910889,10,1,18.6350000,0,0,DODic17,100.0000000
3714506,1499967969187,100,0,18.6000000,0,0,DODic17,500.0000000
3714507,1499967969554,10,1,18.6300000,0,0,DODic17,100.0000000
3714569,1499968189884,10,1,18.6250000,0,0,DODic17,100.0000000
3714590,1499968209990,100,0,18.6000000,0,0,DODic17,100.0000000
3714591,1499968210388,10,1,18.6200000,0,0,DODic17,100.0000000
3714666,1499968391136,100,0,18.6000000,0,0,DODic17,100.0000000
3714667,1499968391538,10,1,18.6200000,0,0,DODic17,100.0000000
3714740,1499968570352,100,0,18.6000000,0,0,DODic17,100.0000000
3714741,1499968570790,10,1,18.6100000,0,0,DODic17,100.0000000
3714764,1499968633463,100,0,18.5710000,0,0,DODic17,197.0000000
3714765,1499968633839,10,1,18.6050000,0,0,DODic17,100.0000000
3714788,1499968692286,100,0,18.5800000,0,0,DODic17,100.0000000
3714789,1499968692688,10,1,18.6400000,0,0,DODic17,200.0000000
3714809,1499968749939,100,0,18.6000000,0,0,DODic17,15.0000000
3714810,1499968750311,10,1,18.6300000,0,0,DODic17,100.0000000
3714835,1499968812863,100,0,18.6000000,0,0,DODic17,15.0000000
3714836,1499968813316,10,1,18.6200000,0,0,DODic17,200.0000000
3714925,1499969051267,100,0,18.5850000,0,0,DODic17,15.0000000
3714926,1499969051651,10,1,18.6200000,0,0,DODic17,200.0000000
3715051,1499969351836,100,0,18.5850000,0,0,DODic17,15.0000000
3715052,1499969352221,10,1,18.6100000,0,0,DODic17,200.0000000
3715142,1499969648587,100,0,18.5900000,0,0,DODic17,400.0000000
3715143,1499969648956,10,1,18.6100000,0,0,DODic17,200.0000000
3715216,1499969832356,100,0,18.5600000,0,0,DODic17,500.0000000
3715217,1499969832743,10,1,18.6100000,0,0,DODic17,200.0000000
3715268,1499969951821,100,0,18.5600000,0,0,DODic17,500.0000000
3715269,1499969952226,10,1,18.6100000,0,0,DODic17,200.0000000
3715306,1499970068108,100,0,18.5600000,0,0,DODic17,500.0000000
3715307,1499970068484,10,1,18.5900000,0,0,DODic17,200.0000000
3715350,1499970187447,100,0,18.5800000,0,0,DODic17,200.0000000
3715351,1499970187936,10,1,18.5900000,0,0,DODic17,200.0000000
3715434,1499970371401,100,0,18.5800000,0,0,DODic17,200.0000000
3715435,1499970371780,10,1,18.6300000,0,0,DODic17,100.0000000
3715446,1499970429632,100,0,18.5800000,0,0,DODic17,200.0000000
3715447,1499970430019,10,1,18.5950000,0,0,DODic17,100.0000000
3715481,1499970496004,100,0,18.5600000,0,0,DODic17,500.0000000
3715482,1499970496392,10,1,18.5950000,0,0,DODic17,100.0000000
3715513,1499970552130,100,0,18.5600000,0,0,DODic17,500.0000000
3715514,1499970552525,10,1,18.5950000,0,0,DODic17,100.0000000
3717846,1500067897866,1000,1,17.0000000,0,0,DODic17,2.0000000
3718997,1500296892212,100,0,18.2350000,0,0,DODic17,100.0000000
3718998,1500296892621,10,1,18.8150000,0,0,DODic17,100.0000000
3719054,1500297132336,100,0,18.2650000,0,0,DODic17,100.0000000
3719055,1500297132755,10,1,18.8150000,0,0,DODic17,100.0000000
3719084,1500297191576,100,0,18.2650000,0,0,DODic17,100.0000000
3719085,1500297191988,10,1,18.7850000,0,0,DODic17,100.0000000
3719122,1500297311712,100,0,18.2650000,0,0,DODic17,100.0000000
3719123,1500297312248,10,1,18.7450000,0,0,DODic17,100.0000000
3719178,1500297491091,100,0,18.3050000,0,0,DODic17,100.0000000
3719179,1500297491503,10,1,18.7450000,0,0,DODic17,100.0000000
3719206,1500297551140,100,0,18.3050000,0,0,DODic17,100.0000000
3719207,1500297551585,10,1,18.6950000,0,0,DODic17,100.0000000
3719242,1500297671738,100,0,18.3050000,0,0,DODic17,100.0000000
3719243,1500297672151,10,1,18.6800000,0,0,DODic17,100.0000000
3719258,1500297731564,100,0,18.3050000,0,0,DODic17,100.0000000
3719259,1500297731950,10,1,18.6750000,0,0,DODic17,100.0000000
3719299,1500297791477,100,0,18.3250000,0,0,DODic17,100.0000000
3719300,1500297791932,10,1,18.6750000,0,0,DODic17,100.0000000
3719405,1500298311136,10,1,18.6750000,0,0,DODic17,100.0000000
3719562,1500299149124,10,1,18.6750000,0,0,DODic17,100.0000000
3719622,1500299469290,100,0,18.4160000,0,0,DODic17,100.0000000
3719623,1500299469692,10,1,18.6750000,0,0,DODic17,100.0000000
3719730,1500299651406,100,0,18.4160000,0,0,DODic17,100.0000000
3719731,1500299652773,10,1,18.6650000,0,0,DODic17,100.0000000
3719958,1500300232713,100,0,18.4210000,0,0,DODic17,100.0000000
3719959,1500300233139,10,1,18.6650000,0,0,DODic17,100.0000000
3720020,1500300432103,100,0,18.4320000,0,0,DODic17,20.0000000
3720021,1500300432490,10,1,18.6650000,0,0,DODic17,100.0000000
3720135,1500300852618,100,0,18.4210000,0,0,DODic17,100.0000000
3720136,1500300853031,10,1,18.6640000,0,0,DODic17,250.0000000
3720159,1500300911810,100,0,18.4290000,0,0,DODic17,100.0000000
3720160,1500300912208,10,1,18.6590000,0,0,DODic17,250.0000000
3720197,1500301032418,100,0,18.4290000,0,0,DODic17,100.0000000
3720198,1500301032853,10,1,18.6620000,0,0,DODic17,250.0000000
3720260,1500301272904,100,0,18.4290000,0,0,DODic17,100.0000000
3720261,1500301273303,10,1,18.6590000,0,0,DODic17,250.0000000
3720296,1500301392861,100,0,18.4290000,0,0,DODic17,100.0000000
3720297,1500301393259,10,1,18.6650000,0,0,DODic17,100.0000000
3720332,1500301512541,100,0,18.4360000,0,0,DODic17,15.0000000
3720333,1500301512946,10,1,18.6400000,0,0,DODic17,20.0000000
3720347,1500301572448,100,0,18.4480000,0,0,DODic17,15.0000000
3720348,1500301572844,10,1,18.6400000,0,0,DODic17,20.0000000
3720419,1500301812464,100,0,18.4350000,0,0,DODic17,50.0000000
3720420,1500301812883,10,1,18.6160000,0,0,DODic17,250.0000000
3720459,1500301872349,100,0,18.4350000,0,0,DODic17,50.0000000
3720460,1500301872744,10,1,18.6140000,0,0,DODic17,250.0000000
3720483,1500301932994,100,0,18.4350000,0,0,DODic17,50.0000000
3720484,1500301933393,10,1,18.6140000,0,0,DODic17,150.0000000
3720512,1500301993586,100,0,18.4350000,0,0,DODic17,50.0000000
3720513,1500301993979,10,1,18.6100000,0,0,DODic17,50.0000000
3720543,1500302052882,100,0,18.4410000,0,0,DODic17,150.0000000
3720544,1500302053314,10,1,18.6100000,0,0,DODic17,50.0000000
3720570,1500302113022,100,0,18.4390000,0,0,DODic17,10.0000000
3720571,1500302113473,10,1,18.6100000,0,0,DODic17,50.0000000
3720608,1500302229921,100,0,18.4510000,0,0,DODic17,100.0000000
3720609,1500302230349,10,1,18.6100000,0,0,DODic17,50.0000000
3720626,1500302273731,100,0,18.4510000,0,0,DODic17,100.0000000
3720627,1500302274275,10,1,18.6100000,0,0,DODic17,50.0000000
3720647,1500302293398,100,0,18.4510000,0,0,DODic17,105.0000000
3720648,1500302293798,10,1,18.6400000,0,0,DODic17,20.0000000
3720711,1500302412116,100,0,18.4600000,0,0,DODic17,100.0000000
3720712,1500302412491,10,1,18.6400000,0,0,DODic17,20.0000000
3720737,1500302472804,100,0,18.4600000,0,0,DODic17,100.0000000
3720738,1500302473209,10,1,18.6400000,0,0,DODic17,20.0000000
3720765,1500302532739,100,0,18.4600000,0,0,DODic17,100.0000000
3720766,1500302533318,10,1,18.6400000,0,0,DODic17,20.0000000
3720795,1500302593537,100,0,18.4600000,0,0,DODic17,100.0000000
3720796,1500302593942,10,1,18.6400000,0,0,DODic17,20.0000000
3720844,1500302713069,100,0,18.4600000,0,0,DODic17,100.0000000
3720845,1500302713440,10,1,18.6400000,0,0,DODic17,20.0000000
3720880,1500302832194,100,0,18.4600000,0,0,DODic17,100.0000000
3720881,1500302832573,10,1,18.6400000,0,0,DODic17,20.0000000
3720912,1500302991761,100,0,18.4630000,0,0,DODic17,100.0000000
3720913,1500302992160,10,1,18.6400000,0,0,DODic17,20.0000000
3720936,1500303012953,100,0,18.4700000,0,0,DODic17,25.0000000
3720937,1500303013359,10,1,18.6400000,0,0,DODic17,20.0000000
3720962,1500303053530,100,0,18.4630000,0,0,DODic17,100.0000000
3720963,1500303053901,10,1,18.6400000,0,0,DODic17,20.0000000
3720983,1500303072835,100,0,18.4700000,0,0,DODic17,25.0000000
3720984,1500303073323,10,1,18.6400000,0,0,DODic17,20.0000000
3721032,1500303193696,100,0,18.4700000,0,0,DODic17,25.0000000
3721033,1500303194078,10,1,18.6400000,0,0,DODic17,20.0000000
3721064,1500303252162,100,0,18.4700000,0,0,DODic17,25.0000000
3721065,1500303252604,10,1,18.6400000,0,0,DODic17,20.0000000
3721095,1500303312002,100,0,18.4700000,0,0,DODic17,25.0000000
3721096,1500303312387,10,1,18.6400000,0,0,DODic17,20.0000000
3721140,1500303431855,100,0,18.4950000,0,0,DODic17,250.0000000
3721141,1500303432221,10,1,18.6400000,0,0,DODic17,20.0000000
3721155,1500303492825,100,0,18.4700000,0,0,DODic17,25.0000000
3721156,1500303493407,10,1,18.6400000,0,0,DODic17,20.0000000
3721201,1500303614946,100,0,18.4710000,0,0,DODic17,100.0000000
3721202,1500303615409,10,1,18.6400000,0,0,DODic17,20.0000000
3721241,1500303673634,100,0,18.4730000,0,0,DODic17,100.0000000
3721242,1500303674020,10,1,18.6400000,0,0,DODic17,20.0000000
3721334,1500303852475,100,0,18.4730000,0,0,DODic17,105.0000000
3721335,1500303852920,10,1,18.6400000,0,0,DODic17,20.0000000
3721380,1500303971990,100,0,18.4930000,0,0,DODic17,150.0000000
3721381,1500303972416,10,1,18.6400000,0,0,DODic17,20.0000000
3721448,1500304093028,100,0,18.4930000,0,0,DODic17,150.0000000
3721449,1500304093613,10,1,18.6400000,0,0,DODic17,20.0000000
3721476,1500304153574,100,0,18.4930000,0,0,DODic17,250.0000000
3721477,1500304153990,10,1,18.6400000,0,0,DODic17,20.0000000
3721508,1500304212382,100,0,18.5070000,0,0,DODic17,250.0000000
3721509,1500304212880,10,1,18.6400000,0,0,DODic17,20.0000000
3721550,1500304273455,100,0,18.4900000,0,0,DODic17,150.0000000
3721551,1500304273835,10,1,18.6400000,0,0,DODic17,20.0000000
3721583,1500304392444,100,0,18.4930000,0,0,DODic17,150.0000000
3721584,1500304392832,10,1,18.6400000,0,0,DODic17,20.0000000
3721601,1500304433333,100,0,18.4930000,0,0,DODic17,150.0000000
3721602,1500304433845,10,1,18.6400000,0,0,DODic17,20.0000000
3721627,1500304452454,100,0,18.4930000,0,0,DODic17,155.0000000
3721628,1500304452888,10,1,18.6590000,0,0,DODic17,15.0000000
3721661,1500304511541,100,0,18.4930000,0,0,DODic17,155.0000000
3721662,1500304511936,10,1,18.6590000,0,0,DODic17,15.0000000
3721701,1500304573910,100,0,18.4970000,0,0,DODic17,250.0000000
3721702,1500304574290,10,1,18.6590000,0,0,DODic17,15.0000000
3721730,1500304632048,100,0,18.4930000,0,0,DODic17,5.0000000
3721731,1500304632479,10,1,18.6740000,0,0,DODic17,500.0000000
3721773,1500304692872,100,0,18.5010000,0,0,DODic17,500.0000000
3721774,1500304693301,10,1,18.6500000,0,0,DODic17,50.0000000
3721819,1500304751997,100,0,18.5200000,0,0,DODic17,50.0000000
3721820,1500304752381,10,1,18.6500000,0,0,DODic17,50.0000000
3721857,1500304812778,100,0,18.5200000,0,0,DODic17,55.0000000
3721858,1500304813431,10,1,18.6500000,0,0,DODic17,50.0000000
3721941,1500304991595,100,0,18.5200000,0,0,DODic17,5.0000000
3721942,1500304991963,10,1,18.6650000,0,0,DODic17,15.0000000
3721977,1500305052727,100,0,18.5200000,0,0,DODic17,5.0000000
3721978,1500305053124,10,1,18.6650000,0,0,DODic17,15.0000000
3721997,1500305113409,100,0,18.5200000,0,0,DODic17,5.0000000
3721998,1500305113821,10,1,18.6650000,0,0,DODic17,15.0000000
3722268,1500305809343,100,0,18.5200000,0,0,DODic17,25.0000000
3722269,1500305809736,10,1,18.6650000,0,0,DODic17,15.0000000
3722294,1500305831222,100,0,18.5300000,0,0,DODic17,164.0000000
3722295,1500305831615,10,1,18.6650000,0,0,DODic17,15.0000000
3722503,1500306251762,100,0,18.5300000,0,0,DODic17,164.0000000
3722504,1500306252333,10,1,18.6980000,0,0,DODic17,245.0000000
3722520,1500306311590,100,0,18.5300000,0,0,DODic17,164.0000000
3722521,1500306312023,10,1,18.6500000,0,0,DODic17,10.0000000
3722572,1500306373789,100,0,18.6500000,0,0,DODic17,164.0000000
3722573,1500306374209,10,1,18.6700000,0,0,DODic17,100.0000000
3722587,1500306431829,100,0,18.5440000,0,0,DODic17,125.0000000
3722588,1500306432241,10,1,18.6700000,0,0,DODic17,100.0000000
3722757,1500306731751,100,0,18.5470000,0,0,DODic17,250.0000000
3722758,1500306732219,10,1,18.6700000,0,0,DODic17,100.0000000
3722843,1500306912995,100,0,18.5470000,0,0,DODic17,255.0000000
3722844,1500306913375,10,1,18.6700000,0,0,DODic17,100.0000000
3722868,1500307027854,100,0,18.5470000,0,0,DODic17,255.0000000
3722869,1500307028270,10,1,18.6700000,0,0,DODic17,100.0000000
3723369,1500308291147,100,0,18.5470000,0,0,DODic17,255.0000000
3723370,1500308291554,10,1,18.6500000,0,0,DODic17,50.0000000
3723409,1500308413310,100,0,18.5870000,0,0,DODic17,8.0000000
3723410,1500308413951,10,1,18.7150000,0,0,DODic17,15.0000000
3723433,1500308452608,100,0,18.5470000,0,0,DODic17,255.0000000
3723434,1500308453021,10,1,18.6810000,0,0,DODic17,15.0000000
3723467,1500308473169,100,0,18.6400000,0,0,DODic17,500.0000000
3723468,1500308473587,10,1,18.7150000,0,0,DODic17,15.0000000
3723492,1500308532966,100,0,18.6400000,0,0,DODic17,500.0000000
3723493,1500308533443,10,1,18.7150000,0,0,DODic17,15.0000000
3723649,1500308892950,100,0,18.6400000,0,0,DODic17,500.0000000
3723650,1500308893360,10,1,18.7150000,0,0,DODic17,15.0000000
3723705,1500309052482,100,0,18.6400000,0,0,DODic17,500.0000000
3723706,1500309052945,10,1,18.7150000,0,0,DODic17,15.0000000
3723870,1500309430764,100,0,18.6600000,0,0,DODic17,500.0000000
3723871,1500309431245,10,1,18.7150000,0,0,DODic17,15.0000000
3723957,1500309612309,100,0,18.6700000,0,0,DODic17,500.0000000
3723958,1500309612673,10,1,18.7150000,0,0,DODic17,15.0000000
3724027,1500309733483,100,0,18.6500000,0,0,DODic17,500.0000000
3724028,1500309733882,10,1,18.7480000,0,0,DODic17,40.0000000
3724055,1500309792679,100,0,18.6500000,0,0,DODic17,500.0000000
3724056,1500309793070,10,1,18.7480000,0,0,DODic17,40.0000000
3724155,1500310031655,100,0,18.6500000,0,0,DODic17,500.0000000
3724156,1500310032077,10,1,18.7480000,0,0,DODic17,40.0000000
3724178,1500310060584,100,0,18.6500000,0,0,DODic17,500.0000000
3724179,1500310060983,10,1,18.7580000,0,0,DODic17,500.0000000
3724565,1500310932879,100,0,18.6500000,0,0,DODic17,500.0000000
3724566,1500310933306,10,1,18.7150000,0,0,DODic17,10.0000000
3724590,1500310993471,100,0,18.6500000,0,0,DODic17,500.0000000
3724591,1500310993838,10,1,18.7000000,0,0,DODic17,50.0000000
3724680,1500311174051,100,0,18.6500000,0,0,DODic17,500.0000000
3724681,1500311174440,10,1,18.7000000,0,0,DODic17,50.0000000
3724993,1500311953405,100,0,18.6500000,0,0,DODic17,500.0000000
3724994,1500311953787,10,1,18.6930000,0,0,DODic17,200.0000000
3725134,1500312253033,100,0,18.6500000,0,0,DODic17,500.0000000
3725135,1500312253433,10,1,18.7000000,0,0,DODic17,50.0000000
3725188,1500312372081,100,0,18.6500000,0,0,DODic17,500.0000000
3725189,1500312372483,10,1,18.7230000,0,0,DODic17,100.0000000
3725305,1500312613726,100,0,18.6550000,0,0,DODic17,500.0000000
3725306,1500312614252,10,1,18.6800000,0,0,DODic17,427.0000000
3725347,1500312671629,100,0,18.6650000,0,0,DODic17,500.0000000
3725348,1500312672004,10,1,18.7330000,0,0,DODic17,100.0000000
3725379,1500312733486,100,0,18.6650000,0,0,DODic17,500.0000000
3725380,1500312733884,10,1,18.6900000,0,0,DODic17,500.0000000
3725442,1500312852941,100,0,18.6650000,0,0,DODic17,470.0000000
3725443,1500312853399,10,1,18.6700000,0,0,DODic17,500.0000000
3725464,1500312910803,100,0,18.6650000,0,0,DODic17,470.0000000
3725465,1500312911197,10,1,18.6700000,0,0,DODic17,505.0000000
3725488,1500312972858,100,0,18.5200000,0,0,DODic17,20.0000000
3725491,1500312973410,10,1,18.7330000,0,0,DODic17,100.0000000
3725531,1500313032632,100,0,18.5840000,0,0,DODic17,250.0000000
3725532,1500313033028,10,1,18.7330000,0,0,DODic17,100.0000000
3725588,1500313213299,100,0,18.6350000,0,0,DODic17,250.0000000
3725589,1500313213675,10,1,18.7330000,0,0,DODic17,100.0000000
3725623,1500313274576,100,0,18.6470000,0,0,DODic17,250.0000000
3725624,1500313274961,10,1,18.7330000,0,0,DODic17,100.0000000
