Posición,Precio,Volumen,Hora
YPFD042021,594.95,1,16:14:44
RFX20042021,65245.0,1,16:14:39
YPFD042021,594.5,8,16:14:37
YPFD042021,594.5,1,16:14:37
GGAL042021,118.9,4,16:14:36
GGAL042021,119.1,5,16:14:35
RFX20042021,65210.0,5,16:14:26
RFX20042021,65250.0,2,16:14:24
RFX20042021,65250.0,5,16:14:24
GGAL042021,118.9,1,16:14:13
GGAL042021,118.9,5,16:14:13
GGAL042021,118.9,4,16:14:13
RFX20042021,65205.0,10,16:14:07
RFX20042021,65210.0,3,16:14:06
RFX20042021,65215.0,5,16:14:04
YPFD042021,594.5,1,16:14:02
RFX20042021,65220.0,3,16:14:00
RFX20042021,65220.0,1,16:13:59
RFX20042021,65220.0,5,16:13:59
RFX20042021,65225.0,5,16:13:54
GGAL042021,119.1,5,16:13:50
RFX20042021,65225.0,5,16:13:44
RFX20042021,65225.0,5,16:13:42
GGAL062021,125.2,4,16:13:33
RFX20042021,65250.0,5,16:13:29
RFX20042021,65260.0,6,16:13:27
RFX20042021,65265.0,7,16:13:24
RFX20042021,65300.0,3,16:13:08
GGAL042021,119.1,8,16:12:54
GGAL042021,119.05,5,16:12:54
GGAL042021,119.05,2,16:12:54
RFX20042021,65300.0,4,16:12:39
RFX20042021,65300.0,2,16:12:23
GGAL042021,119.1,2,16:12:21
RFX20042021,65330.0,5,16:12:19
GGAL042021,119.2,2,16:12:13
RFX20042021,65330.0,2,16:12:04
RFX20042021,65330.0,11,16:11:59
RFX20042021,65330.0,3,16:10:30
RFX20042021,65330.0,2,16:10:30
RFX20042021,65330.0,2,16:10:18
RFX20042021,65330.0,5,16:10:02
RFX20042021,65300.0,5,16:09:58
GGAL042021,119.4,9,16:09:58
RFX20042021,65335.0,2,16:09:41
RFX20042021,65330.0,2,16:09:38
RFX20042021,65335.0,8,16:09:38
RFX20042021,65335.0,10,16:09:36
GGAL062021,125.0,2,16:09:32
YPFD042021,594.5,1,16:09:23
GGAL042021,119.4,1,16:09:20
GGAL062021,125.0,1,16:09:20
GGAL042021,119.5,5,16:08:14
GGAL042021,119.5,8,16:08:14
GGAL042021,119.5,1,16:08:14
RFX20042021,65305.0,1,16:08:11
GGAL042021,119.5,4,16:07:58
GGAL042021,119.5,10,16:07:58
GGAL042021,119.5,4,16:07:58
GGAL042021,119.5,10,16:07:58
RFX20042021,65330.0,1,16:07:46
RFX20062021,70100.0,40,16:07:38
RFX20062021,70050.0,1,16:07:35
GGAL042021,119.5,1,16:07:01
GGAL042021,119.45,30,16:06:31
RFX20042021,65335.0,1,16:05:05
RFX20042021,65335.0,5,16:04:59
RFX20042021,65335.0,6,16:04:51
RFX20042021,65335.0,4,16:04:51
GGAL042021,119.15,4,16:04:43
GGAL042021,119.15,3,16:04:28
GGAL042021,119.15,3,16:04:22
GGAL042021,119.1,3,16:04:20
PAMP042021,83.7,1,16:04:11
PAMP042021,83.7,4,16:04:11
RFX20042021,65335.0,1,16:02:47
RFX20042021,65335.0,2,16:02:47
GGAL042021,119.1,7,16:02:35
GGAL042021,119.1,3,16:02:35
RFX20042021,65315.0,4,16:02:18
RFX20042021,65310.0,5,16:02:16
RFX20042021,65315.0,4,16:02:16
RFX20042021,65315.0,1,16:02:10
RFX20042021,65315.0,4,16:02:09
RFX20042021,65310.0,7,16:02:07
WTI052021,63.3,4,16:02:07
RFX20042021,65300.0,1,16:02:04
RFX20042021,65300.0,1,16:02:04
RFX20042021,65275.0,1,16:01:47
RFX20042021,65275.0,1,16:01:31
RFX20042021,65270.0,2,16:01:31
YPFD042021,593.0,1,16:01:31
RFX20042021,65275.0,5,16:01:22
RFX20042021,65275.0,1,16:01:22
RFX20042021,65275.0,5,16:01:22
RFX20042021,65325.0,1,16:01:16
GGAL062021,125.0,15,16:01:05
GGAL062021,125.0,25,16:01:05
GGAL042021,119.15,30,16:01:02
GGAL062021,124.95,23,16:00:50
GGAL042021,119.2,1,15:59:09
GGAL042021,119.2,2,15:59:09
GGAL042021,119.15,2,15:58:58
ORO052021,1793.0,15,15:58:50
ORO052021,1793.0,15,15:58:42
ORO052021,1793.0,15,15:57:57
ORO052021,1793.0,15,15:57:49
RFX20042021,65350.0,5,15:57:42
GGAL042021,119.15,3,15:57:39
GGAL062021,124.95,2,15:57:32
RFX20042021,65350.0,5,15:57:25
GGAL062021,124.4,1,15:56:52
GGAL042021,119.1,15,15:56:39
RFX20042021,65275.0,1,15:55:05
RFX20042021,65280.0,5,15:55:01
GGAL042021,118.85,2,15:54:58
RFX20042021,65350.0,5,15:53:17
RFX20042021,65380.0,11,15:52:21
YPFD042021,593.0,1,15:51:03
RFX20042021,65340.0,3,15:50:21
RFX20042021,65340.0,2,15:50:21
RFX20042021,65330.0,1,15:49:12
GGAL042021,119.0,10,15:48:40
RFX20062021,70140.0,2,15:48:35
RFX20042021,65330.0,5,15:48:17
RFX20042021,65295.0,1,15:48:08
RFX20042021,65325.0,7,15:46:49
RFX20042021,65330.0,5,15:46:48
GGAL042021,118.8,5,15:46:43
GGAL042021,118.9,1,15:46:27
GGAL042021,119.05,15,15:46:03
RFX20042021,65340.0,1,15:46:01
RFX20042021,65360.0,2,15:45:59
RFX20042021,65360.0,3,15:45:52
RFX20042021,65385.0,5,15:45:44
RFX20042021,65360.0,5,15:45:35
RFX20042021,65385.0,3,15:45:27
RFX20042021,65350.0,1,15:45:24
RFX20042021,65350.0,5,15:45:15
RFX20042021,65380.0,1,15:45:15
RFX20042021,65360.0,1,15:45:14
RFX20042021,65385.0,2,15:44:38
RFX20042021,65390.0,2,15:44:29
WTI052021,63.2,5,15:44:11
RFX20042021,65360.0,1,15:44:10
RFX20042021,65360.0,1,15:44:08
RFX20042021,65360.0,2,15:44:08
RFX20042021,65360.0,1,15:44:08
RFX20062021,70150.0,5,15:44:04
RFX20062021,70100.0,1,15:44:01
RFX20062021,70100.0,1,15:44:01
RFX20062021,70100.0,2,15:44:01
RFX20062021,70000.0,10,15:43:54
RFX20042021,65360.0,1,15:43:41
RFX20042021,65350.0,1,15:43:36
RFX20042021,65350.0,1,15:43:36
RFX20042021,65305.0,3,15:43:24
GGAL042021,119.1,1,15:42:58
RFX20042021,65320.0,5,15:42:57
GGAL042021,119.0,2,15:42:29
GGAL042021,119.0,4,15:42:29
RFX20042021,65240.0,5,15:42:25
GGAL042021,119.0,4,15:42:23
GGAL042021,119.0,6,15:42:23
GGAL042021,118.95,10,15:42:20
RFX20042021,65300.0,1,15:41:59
RFX20042021,65300.0,2,15:41:55
RFX20042021,65300.0,2,15:41:55
RFX20042021,65300.0,1,15:41:55
GGAL042021,118.9,16,15:41:55
GGAL042021,118.9,3,15:41:55
GGAL042021,118.85,1,15:41:53
RFX20042021,65280.0,1,15:41:51
RFX20042021,65295.0,2,15:41:51
GGAL042021,118.85,6,15:41:46
RFX20042021,65265.0,2,15:41:29
RFX20042021,65280.0,5,15:41:24
RFX20042021,65255.0,2,15:41:20
RFX20042021,65265.0,7,15:41:09
RFX20042021,65200.0,1,15:40:28
RFX20042021,65200.0,2,15:39:12
RFX20042021,65200.0,1,15:39:10
RFX20042021,65210.0,5,15:39:08
RFX20042021,65200.0,3,15:39:08
RFX20042021,65190.0,1,15:39:04
RFX20042021,65195.0,3,15:39:04
RFX20042021,65170.0,1,15:38:50
